mtxname,k,bands,r,genPairs_time,HC_time,Format_Conversion_time,LeSpGEMM_VLength_time,mixed_acc,error
Zd_Jac2_db,192,48,4,783.492,185.464,63.021,7.56476,dense clusters: 11682 / 15010 (77.8281%),
cbuckle,128,32,4,287.896,67.604,41.408,2.34573,dense clusters: 1057 / 1220 (86.6393%),
ex3sta1_id_1379,128,32,4,460.964,108.676,89.101,12.543,dense clusters: 26 / 2539 (1.02403%),
heart2,96,32,3,400.483,127.762,35.651,9.71723,dense clusters: 286 / 286 (100%),
heart3,96,24,4,251.894,76.031,38.261,9.70359,dense clusters: 288 / 288 (100%),
TSOPF_RS_b39_c19,192,64,3,994.556,350.941,78.709,3.48783,dense clusters: 11 / 7036 (0.156339%),
rgg_n_2_16_s0,224,56,4,469.709,177.024,119.25,4.02374,dense clusters: 0 / 12200 (0%),
nemeth18,192,32,6,217.226,85.547,41.158,3.17006,dense clusters: 1018 / 1018 (100%),
md2010,192,64,3,1048.42,475.269,223.328,7.95057,dense clusters: 4 / 24373 (0.0164116%),
c-72,96,24,4,279.15,115.284,185.363,48.7348,dense clusters: 1 / 45680 (0.00218914%),
c-64b,224,56,4,3070.53,2045.76,124.152,280.765,dense clusters: 1237 / 27029 (4.57657%),
c-64,192,48,4,2932.17,1812.87,120.368,275.714,dense clusters: 1241 / 27242 (4.55547%),
thermomech_TC,192,64,3,799.54,454.666,185.237,6.11782,dense clusters: 0 / 11420 (0%),
thermomech_TK,256,64,4,688.953,362.34,166.597,5.28872,dense clusters: 0 / 12323 (0%),
Zd_Jac3_db,96,32,3,833.418,260.397,64.935,7.46951,dense clusters: 11546 / 14455 (79.8755%),
cyl6,160,40,4,389.985,83.319,49.144,2.59168,dense clusters: 1070 / 1229 (87.0627%),
Pres_Poisson,64,16,4,119.665,77.383,69.776,3.80402,dense clusters: 640 / 1757 (36.4257%),
g7jac200,192,48,4,502.781,140.016,135.094,10.9314,dense clusters: 1459 / 27492 (5.307%),
g7jac200sc,192,48,4,542.276,142.122,138.35,11.0799,dense clusters: 1459 / 27492 (5.307%),
nemeth01,192,32,6,224.093,88.946,46.887,2.68033,dense clusters: 1081 / 1081 (100%),
pf2177_id_1394,192,64,3,229.729,186.487,219.63,63.5903,dense clusters: 1175 / 1175 (100%),
G2_circuit,160,32,5,549.352,67.884,273.464,5.77488,dense clusters: 65 / 136455 (0.0476348%),
id2010,192,64,3,1105.62,532.052,226.43,9.33533,dense clusters: 2 / 25131 (0.0079583%),
TSOPF_FS_b39_c7,192,64,3,852.978,327.419,55.685,152.386,dense clusters: 1806 / 5101 (35.4048%),
brack2,192,64,3,436.459,352.371,217.382,8.8335,dense clusters: 0 / 7955 (0%),
Si5H12,96,32,3,185.611,110.697,284.582,32.4846,dense clusters: 23 / 4743 (0.484925%),
olesnik0,224,56,4,524.676,324.742,215.848,8.41944,dense clusters: 0 / 10366 (0%),
lhr34,64,16,4,319.142,85.614,112.132,6.49743,dense clusters: 103 / 20608 (0.499806%),
Baumann,64,16,4,196.807,50.21,345.025,5.57058,dense clusters: 0 / 103247 (0%),
trans5,192,48,4,1856.92,1969.74,155.462,9391.84,dense clusters: 16670 / 18916 (88.1265%),
trans4,96,32,3,2478.7,2709.95,152.165,9307.23,dense clusters: 14177 / 16235 (87.3237%),
copter2_id_1230,224,56,4,320.905,235.864,196.782,9.31652,dense clusters: 0 / 8661 (0%),
copter2_id_1256,192,64,3,491.041,376.229,181.105,8.90715,dense clusters: 0 / 6400 (0%),
Andrews,192,64,3,395.632,225.7,247.38,19.0344,dense clusters: 0 / 10601 (0%),
HTC_336_9129,192,48,4,1254.75,376.962,251.357,87.9385,dense clusters: 4 / 93292 (0.00428761%),
lhr34c,160,32,5,578.471,79.204,95.549,5.96941,dense clusters: 108 / 22158 (0.487409%),
dc1,160,40,4,1643.6,1796.62,161.47,9538.81,dense clusters: 17897 / 20224 (88.4939%),
dc2,96,32,3,2484.08,2683.17,152.518,9498.75,dense clusters: 14177 / 16235 (87.3237%),
dc3,192,64,3,4459.42,4158.25,150.282,9318.86,dense clusters: 13303 / 14694 (90.5336%),
bundle1,96,32,3,2119.54,1390.25,41.061,31.5592,dense clusters: 1064 / 1122 (94.8307%),
ma2010,192,64,3,1057.18,515.102,247.1,10.3875,dense clusters: 5 / 26253 (0.0190454%),
vsp_mod2_pgp2_slptsk,96,32,3,650.642,336.024,275.722,82.7674,dense clusters: 25 / 36023 (0.0694001%),
HTC_336_4438,256,64,4,1699.02,373.645,246.558,98.3354,dense clusters: 5 / 86990 (0.00574779%),
delaunay_n17,96,32,3,484.985,257.697,252.06,8.72579,dense clusters: 24 / 29363 (0.0817355%),
ky2010,192,64,3,1097.64,522.912,255.9,9.90317,dense clusters: 70 / 27264 (0.256749%),
m133-b3,160,32,5,768.13,92.981,330.743,8.32479,dense clusters: 0 / 198138 (0%),
shar_te2-b3,192,32,6,817.78,103.345,330.312,8.1532,dense clusters: 0 / 199889 (0%),
windtunnel_evap3d,256,64,4,819.229,413.873,420.092,49.3302,dense clusters: 0 / 4542 (0%),
power197k,192,64,3,3716.84,1064.94,480.438,70.352,dense clusters: 11380 / 65363 (17.4105%),
pkustk02,224,56,4,695.929,121.84,48.866,5.37109,dense clusters: 506 / 1174 (43.1005%),
TSOPF_RS_b162_c4,96,32,3,615.662,171.799,67.689,5.69513,dense clusters: 33 / 6847 (0.481963%),
nemeth19,192,64,3,891.285,215.933,42.689,4.57122,dense clusters: 1011 / 1011 (100%),
fe_ocean,192,32,6,551.402,61.878,318.146,6.70276,dense clusters: 0 / 141049 (0%),
TSC_OPF_300,32,8,4,134.55,59.941,59.296,32.2479,dense clusters: 589 / 1554 (37.9022%),
nj2010,192,64,3,1113.36,497.611,210.207,8.61824,dense clusters: 3 / 27424 (0.0109393%),
nm2010,192,64,3,1198.28,571.77,261.885,9.44834,dense clusters: 1 / 27810 (0.00359583%),
fp,256,64,4,510.609,396.981,70.485,27.2025,dense clusters: 782 / 827 (94.5586%),
ms2010,96,32,3,692.101,354.601,308.291,8.9067,dense clusters: 2 / 40393 (0.00495135%),
soc-sign-epinions,64,16,4,2234.38,494.715,299.951,158.089,dense clusters: 4170 / 57936 (7.1976%),
ss1,160,32,5,775.584,100.359,348.403,8.72431,dense clusters: 95967 / 201773 (47.5619%),
ch7-8-b5,64,16,4,244.809,63.739,328.632,13.8278,dense clusters: 0 / 139229 (0%),
c-71,256,64,4,557.443,147.16,196.851,77.2964,dense clusters: 1 / 34227 (0.00292167%),
vsp_vibrobox_scagr7-2c_rlfddd,64,16,4,433.51,302.666,249.296,116.799,dense clusters: 23 / 21756 (0.105718%),
sme3Da,128,32,4,216.261,99.326,85.899,12.8307,dense clusters: 0 / 1432 (0%),
Si10H16,192,64,3,724.156,180.918,218.408,41.1844,dense clusters: 400 / 2503 (15.9808%),
sc2010,96,32,3,736.463,389.278,336.372,10.0605,dense clusters: 5 / 42209 (0.0118458%),
matrix-new_3,192,64,3,1927.64,546.574,317.934,84.6798,dense clusters: 572 / 16715 (3.42208%),
tube2,192,64,3,816.292,230.312,56.439,3.67072,dense clusters: 289 / 1912 (15.1151%),
tube1,192,64,3,852.545,241.644,85.101,2.41137,dense clusters: 102 / 1927 (5.2932%),
ar2010,128,32,4,794.932,178.511,354.625,13.8101,dense clusters: 8 / 96610 (0.00828072%),
fe_tooth,192,64,3,544.412,437.299,268.685,11.1623,dense clusters: 0 / 10039 (0%),
soc-Slashdot0811,96,16,6,161.302,35.274,424.282,207.839,dense clusters: 7746 / 73343 (10.5613%),
ne2010,192,64,3,1300.56,541.468,275.053,8.86309,dense clusters: 43 / 31479 (0.136599%),
sx-superuser,32,8,4,1515.79,669.626,375.662,342.901,dense clusters: 25903 / 110753 (23.3881%),
NotreDame_www,192,64,3,39891.2,5281.07,195.319,7.24463,dense clusters: 4030 / 57287 (7.03475%),
ASIC_100k,192,64,3,3335.39,2584.04,166.668,7534.24,dense clusters: 11448 / 11451 (99.9738%),
net50,192,64,3,832.867,273.707,282.361,65.7126,dense clusters: 1254 / 2327 (53.8891%),
wa2010,192,64,3,1507.14,638.307,311.142,13.5169,dense clusters: 5 / 32014 (0.0156182%),
soc-Slashdot0902,192,32,6,542.051,66.367,437.071,213.833,dense clusters: 7511 / 72333 (10.3839%),
sinc18,192,64,3,1479.28,171.011,153.275,63.3562,dense clusters: 1876 / 2307 (81.3177%),
scircuit,96,32,3,798.281,391.762,276.883,12.4828,dense clusters: 296 / 32443 (0.912369%),
crplat2,192,64,3,763.196,225.599,56.577,4.97918,dense clusters: 68 / 1575 (4.31746%),
transient,192,32,6,738.705,108.658,321.612,4976.12,dense clusters: 33468 / 100942 (33.1557%),
pcrystk02,128,32,4,182.508,71.923,83.111,7.31497,dense clusters: 1225 / 1394 (87.8766%),
crystk02,160,32,5,147.267,48.882,92.246,7.63578,dense clusters: 1332 / 1511 (88.1535%),
nemeth20,192,48,4,645.849,195.24,52.108,6.61628,dense clusters: 1039 / 1039 (100%),
co2010,192,64,3,1587.64,683.711,301.701,11.436,dense clusters: 24 / 32953 (0.072831%),
pkustk01,96,16,6,173.948,35.44,78.927,6.5335,dense clusters: 470 / 3101 (15.1564%),
or2010,192,64,3,1498.8,679.043,304.944,11.3696,dense clusters: 2 / 32552 (0.00614402%),
la2010,192,64,3,2101.76,692.96,307.944,10.9114,dense clusters: 30 / 33688 (0.0890525%),
cont-300,96,24,4,469.15,95.257,351.664,6.44197,dense clusters: 0 / 145436 (0%),
preferentialAttachment,96,16,6,200.431,44.892,451.06,83.6648,dense clusters: 10 / 99995 (0.0100005%),
smallworld,96,24,4,281.323,118.701,305.699,15.2299,dense clusters: 0 / 40576 (0%),
G_n_pin_pout,192,32,6,386.003,47.565,456.531,25.8237,dense clusters: 0 / 99983 (0%),
dawson5,160,32,5,244.909,156.533,167.817,7.14474,dense clusters: 4363 / 7671 (56.8765%),
mosfet2,192,64,3,707.345,375.68,233.036,22.0993,dense clusters: 4 / 5157 (0.0775645%),
rim,224,56,4,468.818,198.676,99.169,6.62069,dense clusters: 2333 / 3018 (77.3028%),
olafu,256,64,4,491.629,158.027,69.511,5.43876,dense clusters: 1004 / 1404 (71.51%),
gyro,224,56,4,507.689,163.029,82.143,9.56585,dense clusters: 981 / 1964 (49.9491%),
gyro_k,224,56,4,509.533,162.678,82.387,9.2325,dense clusters: 981 / 1964 (49.9491%),
ia2010,96,32,3,894.756,437.522,359.947,10.3785,dense clusters: 10 / 49101 (0.0203662%),
Dubcova2,192,64,3,837.453,375.253,151.024,8.80001,dense clusters: 0 / 7423 (0%),
Goodwin_054,160,32,5,276.581,192.964,113.3,7.27494,dense clusters: 870 / 4852 (17.9308%),
